,Name,Album,Artist,SpotifyURL,PreviewURL
0,Sick Thoughts,Sick Thoughts,Lou Bliss,https://open.spotify.com/track/4uxJICczweCIPZkIA6AN5k,
1,Mo Bamba,MUDBOY,Sheck Wes,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb,
3,Foot Fungus,STOKELEY,Ski Mask The Slump God,https://open.spotify.com/track/3EikYy40GMSp8l5mDV6IQo,
4,Shhh (Pew Pew) - Slowed + Reverb,Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic,https://open.spotify.com/track/24HKaFw0tAfvGiq03KRNje,
5,Rasputin,Rasputin,Majestic,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q,
6,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277,
7,Whoopty,Whoopty,CJ,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA,
8,Streets,Hot Pink,Doja Cat,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf,
9,Goosebumps - Remix,Goosebumps (Remix),Travis Scott,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9,
10,Paparazzi,Paparazzi,Kim Dracula,https://open.spotify.com/track/3rchFjeKZ0bJxO7EEdM3S5,
11,hot girl bummer,hot girl bummer,blackbear,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,
12,Runnin Low,Runnin Low,Kieran Alleyne,https://open.spotify.com/track/04f7fQILKDgLE8aHbF73VO,
13,Моя голова винтом (My head is spinning like a screw),Моя голова винтом (My head is spinning like a screw),kostromin,https://open.spotify.com/track/4KrhaZm4JRkNO4HRdLvJIG,
14,Such a Whore (Stellular Remix),Such a Whore (Stellular Remix),JVLA,https://open.spotify.com/track/6A25J9As7towpxovYryAWr,
15,Such a Whore (Instrumental),Such a Whore (Instrumental),JVLA,https://open.spotify.com/track/5XH02x5CtyL9hBUhXnRHSl,
16,Minimum - Umut Dogan Remix,Minimum (Umut Dogan Remix),Ямаджи,https://open.spotify.com/track/4wns4XvrgIzbJpuqI3XDMm,
17,Минимум - The Sumo Remix,Минимум (Remix Pack),Ямаджи,https://open.spotify.com/track/7ynfTMcTrx1qAxDGZpErCZ,
18,Superlife,Superlife,2Scratch,https://open.spotify.com/track/2T2t1nP72WixJKmLJgoWNY,
19,Invincible,Meet The Woo 2,Pop Smoke,https://open.spotify.com/track/792HwhrdO3ErRKL5yRe4Ge,
20,How She Walk,How She Walk,TheGrimLynn,https://open.spotify.com/track/4DPOGe8bDiqWMDNmtu1k6K,
21,Arabian Night,Arabian Night,Żwirek,https://open.spotify.com/track/0S18dYlmsel6hdF45rn8t9,
22,Monster,Monster,Besomorph,https://open.spotify.com/track/2HCYh0kf5Xqqijv6h4bh3H,
23,PHONKY TOWN,PHONKY TOWN,PlayaPhonk,https://open.spotify.com/track/0BRbI3ZMPXuj9yA7ChDGOW,
24,Goodbye (feat. Lyse) - Slow Version,Goodbye (feat. Lyse) [Slow Version],Feder,https://open.spotify.com/track/0Cp85ha3RN0FDytbku8nzq,
25,Blood // Water,Blood // Water,grandson,https://open.spotify.com/track/0AUyNF6iFxMNQsNx2nhtrw,
26,Fed Up,ANTI-ICON,Ghostemane,https://open.spotify.com/track/0BV0AYGLVlu2SdjN3J9twp,
27,Kill Yourself (Part III),My Liver Will Handle What My Heart Can't,$uicideboy$,https://open.spotify.com/track/0kEZlJh4mK1QRfb3CT5LPk,
28,Venom - Music From The Motion Picture,Venom (Music From The Motion Picture),Eminem,https://open.spotify.com/track/3kpYJjvM8Ja6btr5hEJLWc,
29,The Electro Suite,The Amazing Spider-Man 2 (The Original Motion Picture Soundtrack) [Deluxe],Various Artists,https://open.spotify.com/track/7MyNaeme4s4l9MfBjRHRe6,
30,Standard,Standard,Linius,https://open.spotify.com/track/3Zz7uGMLSSTDLK9SMnB2Hh,
31,Look At Me!,Look At Me!,XXXTENTACION,https://open.spotify.com/track/7floNISpH8VF4z4459Qo18,
32,Scary Garry,Scary Garry,Kaito Shoma,https://open.spotify.com/track/658QJ4p8WcbT3O7iWLpO1D,
33,Nemesis,Nemesis,Ryllz,https://open.spotify.com/track/3S9b5ink1kHrrKql3FdDI2,
34,New Americana,New Americana,Mostus,https://open.spotify.com/track/1UXrXVbD773QAizCRvPOww,
35,Life Ain't Fair,Life Ain't Fair,B3Y0NDA110DD$,https://open.spotify.com/track/2HP59JGIaJjuTZ6r48qG39,
