,Name,Album,Artist,SpotifyURL,PreviewURL
0,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://open.spotify.com/track/649AbXFbU0UDYe2bhs9jSe,
1,Fearless,Fearless,Lost Sky,https://open.spotify.com/track/7HU0fgCVI8ZcdCum2bZThz,
2,Ark,Ark,Star Party,https://open.spotify.com/track/2hjqFVoMk6ssbfgtHEyhsY,
3,Supersonic,Supersonic,Rob Gasser,https://open.spotify.com/track/4VQCWfOxH70EnBpyRa8Z7U,
4,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://open.spotify.com/track/649AbXFbU0UDYe2bhs9jSe,
5,Mortals,Mortals,Warriyo,https://open.spotify.com/track/3Fg5uhtWBlW0es8GSqQ6Ff,
6,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://open.spotify.com/track/2XfOIo7hhW4DMru4aGbGX7,
7,Fearless,Fearless,Lost Sky,https://open.spotify.com/track/7HU0fgCVI8ZcdCum2bZThz,
8,Ark,Ark,Star Party,https://open.spotify.com/track/2hjqFVoMk6ssbfgtHEyhsY,
9,Ark,Ark,Star Party,https://open.spotify.com/track/2hjqFVoMk6ssbfgtHEyhsY,
10,Mortals,Mortals,Warriyo,https://open.spotify.com/track/3Fg5uhtWBlW0es8GSqQ6Ff,
11,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://open.spotify.com/track/2XfOIo7hhW4DMru4aGbGX7,
12,Supersonic,Supersonic,Rob Gasser,https://open.spotify.com/track/4VQCWfOxH70EnBpyRa8Z7U,
13,Feel Good,Feel Good,Syn Cole,https://open.spotify.com/track/2yox08l4o0FnOL8Ih4yEfM,
14,Fearless Pt. II,NCS: The Best of 2017,Various Artists,https://open.spotify.com/track/649AbXFbU0UDYe2bhs9jSe,
15,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak,https://open.spotify.com/track/2XfOIo7hhW4DMru4aGbGX7,
16,Mortals,Mortals,Warriyo,https://open.spotify.com/track/3Fg5uhtWBlW0es8GSqQ6Ff,
17,Fearless,Fearless,Lost Sky,https://open.spotify.com/track/7HU0fgCVI8ZcdCum2bZThz,
18,Blank,Blank,Disfigure,https://open.spotify.com/track/2EjSewEKEZShOUBwFXUrK5,
19,Symbolism,Symbolism,Electro-Light,https://open.spotify.com/track/2zVJlAEB0ublkqJMIn43AE,
20,Symbolism,Symbolism,Electro-Light,https://open.spotify.com/track/2zVJlAEB0ublkqJMIn43AE,
21,Blank,Blank,Disfigure,https://open.spotify.com/track/2EjSewEKEZShOUBwFXUrK5,
22,On & On,On & On,Cartoon,https://open.spotify.com/track/4B2kkxg3wKSTZw5JPaUtzQ,
23,On & On,On & On,Cartoon,https://open.spotify.com/track/4B2kkxg3wKSTZw5JPaUtzQ,
24,Invincible,Invincible,Deaf Kev,https://open.spotify.com/track/7MTZVwYiEahXQIyCU2FLPV,
25,Invincible,Invincible,Deaf Kev,https://open.spotify.com/track/7MTZVwYiEahXQIyCU2FLPV,
26,Sky High,Sky High,Elektronomia,https://open.spotify.com/track/0q1YL8hfWM3knO1s0gdRKs,
27,Nekozilla,NCS: Infinity,Various Artists,https://open.spotify.com/track/6ULbkJ16YabZNdJMHsIVmE,
28,Firefly,Firefly,Jim Yosef,https://open.spotify.com/track/5aSYCqTmfXXNsQOtTqEHq1,
29,Hope (Original Mix),Hope,Tobu,https://open.spotify.com/track/4XNt2ViSmF6lQFNVFAbOG5,
