,Name,Album,Artist,SpotifyURL,PreviewURL
0,APT.,APT.,ROSÉ,https://open.spotify.com/track/5vNRhkKd0yEAg8suGBpjeY,
1,Die With A Smile,Die With A Smile,Lady Gaga,https://open.spotify.com/track/2plbrEY59IikOBgBGLjaoe,
2,Espresso,Espresso,Sabrina Carpenter,https://open.spotify.com/track/2qSkIjg1o9h3YT9RAgYN75,
3,Like Me - Remix,Like Me (Remix),ppcocaine,https://open.spotify.com/track/4fjY25C4KaIX7u2JT3lIlY,
4,Calm Down,Summer Holidays - Good Vibes,Various Artists,https://open.spotify.com/track/0l9KCOa3kHgmvP4JPmBUrT,
5,Taste,Short n' Sweet,Sabrina Carpenter,https://open.spotify.com/track/1d7Ptw3qYcfpdLNL5REhtJ,
6,I Had Some Help (Feat. Morgan Wallen),I Had Some Help,Post Malone,https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP,
7,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,https://open.spotify.com/track/4h9wh7iOZ0GGn8QVp4RAOB,
8,Rush,Rush,Ayra Starr,https://open.spotify.com/track/1rrqJ9QkOBYJlsZgqqwxgB,
9,Love Again,Love Again,MIRA,https://open.spotify.com/track/4Vvy29lp15NvfeqC8PAr6U,
10,I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,https://open.spotify.com/track/331l3xABO0HMr1Kkyh2LZq,
11,I'm Good (Blue),Silvester Party Hits 2022 / 2023,Various Artists,https://open.spotify.com/track/13NSf2YJVP9RLNBulaVART,
12,golden hour,golden hour,JVKE,https://open.spotify.com/track/6GD1eomgaGT1Epto6Q5eAo,
13,Nonsense,Música en todos lados,Various Artists,https://open.spotify.com/track/1nStjUzehuAN2qy9MQpBF4,
14,Mondays,Mondays,TOESUP,https://open.spotify.com/track/6t3qtvyjdQfaFhzEF2EUZN,
15,Juno,Short n' Sweet,Sabrina Carpenter,https://open.spotify.com/track/21B4gaTWnTkuSh77iWEXdS,
16,"Dance The Night (From ""Barbie The Album"")",Your Top Songs,Various Artists,https://open.spotify.com/track/0QOiD5KHfvRm63iqwpute8,
17,Overdrive (feat. Norma Jean Martine),Overdrive (feat. Norma Jean Martine),Ofenbach,https://open.spotify.com/track/0V584xEQYJ1NTIdGH7hDVg,
18,Made You Look,Hot Summer Party Mix,Summer Hits,https://open.spotify.com/track/5jxLkBlwfgVNgUsoxIr0F0,
19,Ring Ring,Ring Ring,MIRA,https://open.spotify.com/track/4cSp2hlUlAwgurjIqHN592,
20,Dancing In The Flames,Dancing In The Flames,The Weeknd,https://open.spotify.com/track/7z7kvUQGwlC6iOl7vMuAr9,
21,"yes, and?","yes, and?",Ariana Grande,https://open.spotify.com/track/7gaA3wERFkFkgivjwbSvkG,
22,the boy is mine,eternal sunshine,Ariana Grande,https://open.spotify.com/track/0Lmbke3KNVFXtoH2mMSHCw,
23,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,https://open.spotify.com/track/0O6u0VJ46W86TxN9wgyqDj,
24,When I Get Old,When I Get Old,Christopher,https://open.spotify.com/track/5f2CcxzZoW7hNs1O8NhG6y,
25,LUNCH,HIT ME HARD AND SOFT,Billie Eilish,https://open.spotify.com/track/629DixmZGHc7ILtEntuiWE,
26,Twilight,Twilight,Ashwin Gane,https://open.spotify.com/track/1IO3HXUkIaaxqpd5ldD7VE,
27,For My Hand (feat. Ed Sheeran),"Love, Damini",Burna Boy,https://open.spotify.com/track/0HaRLPnr887lcQM2YQzkff,
28,The Drum,The Drum,Alan Walker,https://open.spotify.com/track/1zOOl8f7qkjj0AmvlCfLyQ,
